text,first_column,second_column,line_type,ordering
"status during his recent visit to Australia; if not,   meetings of the Commission on Human Rights.","status during his recent visit to Australia; if not,",meetings of the Commission on Human Rights.,both,7135
(2) Is the ANC (a) no more than a political         Affairs and Trade has provided the fol-,(2) Is the ANC (a) no more than a political,Affairs and Trade has provided the fol-,both,7138
"party, (b) not the largest political party in South    lowing answer to the honourable mem-","party, (b) not the largest political party in South",lowing answer to the honourable mem-,both,7139
Africa and (c) affilia:ted with the South African      ber's question:,Africa and (c) affilia:ted with the South African,ber's question:,both,7140
(3) Following the precedent set by Mr Mande-        on Human Rights (CHR) for a period of three,(3) Following the precedent set by Mr Mande-,on Human Rights (CHR) for a period of three,both,7143
"la's visit, will other South African political lead-   years commencing in January 1991. The Austra-","la's visit, will other South African political lead-",years commencing in January 1991. The Austra-,both,7144
"ers, including Mr de Klerk and Chief Buthelezi,        lian Delegation to the CHR is normally led by","ers, including Mr de Klerk and Chief Buthelezi,",lian Delegation to the CHR is normally led by,both,7145
"be invited to Australia with similar status; if not,   our Permanent Represerltative to the United","be invited to Australia with similar status; if not,",our Permanent Represerltative to the United,both,7146
",w~y not.                                              Nations in Geneva.",",w~y not.",Nations in Geneva.,both,7147
"Mr Hawke-The answer to the honour-                             Membership ,of UNESCO,",Mr Hawke-The answer to the honour-,"Membership ,of UNESCO,",both,7149
(1) Mr Mandela and his party of 12 officials            Mr Hollis asked the Minister represent-,(1) Mr Mandela and his party of 12 officials,Mr Hollis asked the Minister represent-,both,7153
"visited Australia as Guests of the Government.         ,ing the Minister for Foreign Affairs and",visited Australia as Guests of the Government.,",ing the Minister for Foreign Affairs and",both,7154
"As Mr Mandela is not a head of state, he was           Trade, upon notice, on 4 December 1990:","As Mr Mandela is not a head of state, he was","Trade, upon notice, on 4 December 1990:",both,7155
head of state e.g. a ceremonial welcome involving         Further to the answer to question No. 25 (Han-,head of state e.g. a ceremonial welcome involving,Further to the answer to question No. 25 (Han-,both,7157
"a guard of honour and a gun salute. Such provi-         sard, 21 August 1990, page 1208), has Australia",a guard of honour and a gun salute. Such provi-,"sard, 21 August 1990, page 1208), has Australia",both,7158
sion was consistent with arrangements made by           raised the question of membership of UNESCO,sion was consistent with arrangements made by,raised the question of membership of UNESCO,both,7159
"other countries visited by Mr Mandela.                  with (a) Brunei, (b) Solomon Islands and (c) Van-",other countries visited by Mr Mandela.,"with (a) Brunei, (b) Solomon Islands and (c) Van-",both,7160
"uatu, as it has with the Federated States of Mi-     restraint as tragic incidents such as that which","uatu, as it has with the Federated States of Mi-",restraint as tragic incidents such as that which,both,7163
cronesia and the Republic of the Marshall Islands.   took place on 8 October can only increase the,cronesia and the Republic of the Marshall Islands.,took place on 8 October can only increase the,both,7164
Dr Blewett-The Minister for Foreign               popuhition.,Dr Blewett-The Minister for Foreign,popuhition.,both,7166
lowing answer to' the honourable mem-                   (b) The Government made no statement on,lowing answer to' the honourable mem-,(b) The Government made no statement on,both,7168
ber's question:                                      the emigration of Soviet Jews to Israel on 28,ber's question:,the emigration of Soviet Jews to Israel on 28,both,7169
The question of membership of UNESCO was           Evans's statement of 23 May in the Senate in,The question of membership of UNESCO was,Evans's statement of 23 May in the Senate in,both,7171
raised with the Solomon Islands and Vanuatu in       response to a Question Without Notice in which,raised with the Solomon Islands and Vanuatu in,response to a Question Without Notice in which,both,7172
